FASTQ_Prefix,IgG_Control_FASTQ_Prefix,Reference_Genome,Peak_Caller,Peak_Size,Significance_Threshold
230301_IgG_old_PUM1_trimmed_L001,230301_IgG_old_PUM1_trimmed_L001,Mouse mm10,MACS2,Narrow,0.05
230301_index_25_ctrl_1_old_PUM1_H3K4me3_trimmed_L001,230301_IgG_old_PUM1_trimmed_L001,Mouse mm10,MACS2,Narrow,0.05
230301_index_26_mut_1_old_PUM1_H3K4me3_trimmed_L001,230301_IgG_old_PUM1_trimmed_L001,Mouse mm10,MACS2,Narrow,0.05
230301_index_27_ctrl_2_old_PUM1_H3K4me3_trimmed_L001,230301_IgG_old_PUM1_trimmed_L001,Mouse mm10,MACS2,Narrow,0.05
230301_index_28_mut_2_old_PUM1_H3K4me3_trimmed_L001,230301_IgG_old_PUM1_trimmed_L001,Mouse mm10,MACS2,Narrow,0.05
